Progress,Finished,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2012,Please select ...,Other (please specify),Disagree - major changes are needed,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Solved a few,Somewhat agree,Hard to work with,Strongly agree,Strongly agree,Strongly agree,A moderate amount,Slightly helpful,Strongly agree,A little,Somewhat agree,Somewhat agree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Southeast University,Male,"Bachelors, B.Sc., BS",2017,2 to 5 years,DevOps,Strongly disagree - should be totally changed,,Strongly agree,,,,,,,,Somewhat disagree,Solved a few,Strongly agree,Extremely hard to work with,Neither agree nor disagree,Somewhat disagree,Strongly agree,A lot,Not helpful at all,Somewhat disagree,A little,Somewhat disagree,Neither agree nor disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Jagannath University,Male,"Masters, M.Sc., MS",2013,2 to 5 years,Software Developer/Engineer,Other (I want to share my opinion),Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Solved a few,Neither agree nor disagree,Easy to work with,Strongly agree,Strongly agree,Strongly agree,A lot,Other (I want to share my opinion),Neither agree nor disagree,A moderate amount,Somewhat agree,Somewhat agree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Bangladesh University,Male,Other (please specify),Please select ...,2 to 5 years,Software Developer/Engineer,Neither agree nor disagree,,,,,,,,,,Strongly agree,Did not participate or solve,Strongly agree,Great team players,Neither agree nor disagree,Strongly agree,Strongly agree,A lot,Slightly helpful,Somewhat agree,A moderate amount,Strongly disagree,Strongly agree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2015,2 to 5 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Solved a few,Somewhat agree,Hard to work with,Neither agree nor disagree,Strongly agree,Strongly agree,A lot,Not helpful at all,Neither agree nor disagree,A little,Somewhat agree,Somewhat disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I do not agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Ahsanullah University of Science and Technology,Male,"Bachelors, B.Sc., BS",2009,5 to 10 years,QA / Test Engineer / Test Automation Engineer,Strongly disagree - should be totally changed,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Did not participate or solve,Somewhat agree,Hard to work with,Somewhat agree,Somewhat agree,Strongly agree,A lot,Moderately helpful,Somewhat agree,A little,Somewhat disagree,Somewhat agree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2018,Less than 2 years,Other (please specify),Disagree - major changes are needed,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,A lot,Strongly agree,Other (I want to share my opinion),Neither agree nor disagree,Strongly agree,Somewhat agree,A little,Not helpful at all,Somewhat agree,A lot,Strongly disagree,Somewhat disagree
100,True,I agree,Yes,University of Dhaka (DU),Female,"Bachelors, B.Sc., BS",2006,More than 10 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Other (I want to share my opinion),Solved a few,Strongly agree,Other (I want to share my opinion),Other (I want to share my opinion),Strongly agree,Strongly agree,A little,Moderately helpful,Strongly agree,A moderate amount,Strongly agree,Somewhat disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Ahsanullah University of Science and Technology,Male,"Bachelors, B.Sc., BS",2012,Please select ...,Other (please specify),Disagree - major changes are needed,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Did not participate or solve,Strongly agree,Great team players,Somewhat agree,Strongly agree,Strongly agree,A great deal,Slightly helpful,Strongly agree,A little,Somewhat agree,Somewhat agree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2018,Less than 2 years,Software Developer/Engineer,Disagree - major changes are needed,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,A lot,Strongly agree,I did not have such teammates,Strongly agree,Strongly agree,Strongly agree,A lot,Slightly helpful,Strongly disagree,A little,Somewhat agree,Strongly disagree
100,True,I agree,Yes,"Other, not listed",Male,Other (please specify),Please select ...,Less than 2 years,Software Developer/Engineer,Disagree - major changes are needed,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Solved a few,Strongly agree,Easy to work with,Somewhat agree,Strongly agree,Strongly agree,A moderate amount,Slightly helpful,Strongly disagree,A moderate amount,Strongly agree,Neither agree nor disagree
100,True,I agree,Yes,Leading University,Male,"Bachelors, B.Sc., BS",2019,Less than 2 years,Software Developer/Engineer,Disagree - major changes are needed,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Solved a few,Strongly agree,Easy to work with,Strongly agree,Somewhat agree,Strongly agree,A lot,Moderately helpful,Strongly agree,A little,Strongly agree,Somewhat agree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2012,2 to 5 years,Project Manager,Agree - minor changes are needed,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Solved a few,Strongly agree,Easy to work with,Somewhat agree,Strongly agree,Somewhat agree,A moderate amount,Moderately helpful,Neither agree nor disagree,A little,Strongly agree,Neither agree nor disagree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2017,2 to 5 years,Software Developer/Engineer,Disagree - major changes are needed,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,A lot,Strongly agree,Great team players,Neither agree nor disagree,Strongly agree,Strongly agree,A moderate amount,Slightly helpful,Strongly agree,A little,Strongly disagree,Neither agree nor disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Bangladesh University of Business and Technology,I prefer not to share,"Bachelors, B.Sc., BS",2018,Less than 2 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,A lot,Strongly agree,Great team players,Somewhat agree,Strongly agree,Somewhat agree,A moderate amount,Not helpful at all,Strongly agree,A moderate amount,Neither agree nor disagree,Somewhat agree
100,True,I agree,Yes,University of Liberal Arts Bangladesh,Male,"Bachelors, B.Sc., BS",2016,2 to 5 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,A lot,Strongly agree,Great team players,Strongly agree,Strongly agree,Somewhat agree,A lot,Slightly helpful,Strongly agree,A little,Somewhat disagree,Neither agree nor disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Hajee Mohammad Danesh Science & Technology University,Male,"Bachelors, B.Sc., BS",2018,Less than 2 years,Software Developer/Engineer,Disagree - major changes are needed,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,A lot,Strongly agree,Easy to work with,Neither agree nor disagree,Strongly agree,Strongly agree,A moderate amount,Not helpful at all,Somewhat agree,A little,Somewhat agree,Somewhat agree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Daffodil International University,Male,"Bachelors, B.Sc., BS",2019,Less than 2 years,QA / Test Engineer / Test Automation Engineer,Strongly disagree - should be totally changed,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Solved a few,Strongly agree,Great team players,Strongly agree,Strongly agree,Strongly agree,A little,Slightly helpful,Strongly agree,A lot,Strongly disagree,Strongly disagree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2012,5 to 10 years,Software Developer/Engineer,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Did not participate or solve,Neither agree nor disagree,Hard to work with,Somewhat agree,Strongly agree,Strongly agree,A lot,Not helpful at all,Strongly disagree,A little,Somewhat disagree,Neither agree nor disagree
100,True,I agree,Yes,American International University-Bangladesh,Male,"Bachelors, B.Sc., BS",2014,5 to 10 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Solved a few,Strongly agree,Great team players,Somewhat agree,Strongly agree,Strongly agree,A moderate amount,Moderately helpful,Somewhat disagree,None at all,Neither agree nor disagree,Neither agree nor disagree
100,True,I agree,Yes,American International University-Bangladesh,Male,"Bachelors, B.Sc., BS",2017,Less than 2 years,Business Analyst,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Did not participate or solve,Strongly agree,Easy to work with,Neither agree nor disagree,Strongly agree,Strongly agree,A lot,Slightly helpful,Strongly disagree,A little,Strongly disagree,Neither agree nor disagree
100,True,I agree,Yes,North South University,Male,"Bachelors, B.Sc., BS",2016,2 to 5 years,Software Developer/Engineer,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,A lot,Strongly agree,Easy to work with,Somewhat agree,Strongly agree,Somewhat agree,A little,Not helpful at all,Strongly disagree,A little,Neither agree nor disagree,Somewhat agree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2019,Less than 2 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Solved a few,Strongly agree,Easy to work with,Neither agree nor disagree,Strongly agree,Somewhat agree,A great deal,Very helpful,Somewhat disagree,A moderate amount,Strongly agree,Somewhat disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,North South University,Male,"Bachelors, B.Sc., BS",2019,Please select ...,Software Developer/Engineer,Strongly disagree - should be totally changed,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,A lot,Strongly agree,Great team players,Strongly agree,Strongly agree,Somewhat agree,A moderate amount,Moderately helpful,Somewhat agree,None at all,Strongly agree,Strongly disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2014,2 to 5 years,Software Developer/Engineer,Disagree - major changes are needed,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Did not participate or solve,Somewhat agree,Hard to work with,Strongly agree,Strongly agree,Strongly agree,A lot,Not helpful at all,Somewhat agree,None at all,Somewhat agree,Somewhat disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2013,2 to 5 years,Project Manager,Disagree - major changes are needed,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Solved a few,Neither agree nor disagree,I did not have such teammates,Somewhat agree,Strongly agree,Strongly agree,A moderate amount,Not helpful at all,,A little,Strongly agree,Neither agree nor disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,"University of Asia Pacific,Bangladesh",Male,"Bachelors, B.Sc., BS",2016,5 to 10 years,Software Developer/Engineer,Disagree - major changes are needed,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Solved a few,Strongly agree,Great team players,Somewhat agree,Strongly agree,Strongly agree,A lot,Slightly helpful,Neither agree nor disagree,None at all,Somewhat agree,Strongly disagree
100,True,I agree,Yes,Green University of Bangladesh,Male,"Bachelors, B.Sc., BS",2019,2 to 5 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Solved a few,Strongly agree,Hard to work with,Neither agree nor disagree,Strongly agree,Strongly agree,A moderate amount,Slightly helpful,Somewhat agree,A moderate amount,Somewhat agree,Somewhat agree
100,True,I agree,Yes,University of Dhaka (DU),Female,"Bachelors, B.Sc., BS",2016,2 to 5 years,QA / Test Engineer / Test Automation Engineer,Agree - minor changes are needed,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Did not participate or solve,Somewhat agree,Easy to work with,Neither agree nor disagree,Somewhat agree,Somewhat agree,A little,Slightly helpful,Strongly agree,A lot,Somewhat disagree,Somewhat agree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,University of Dhaka (DU),Female,"Bachelors, B.Sc., BS",2017,Less than 2 years,Other (please specify),Agree - minor changes are needed,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Solved a few,Neither agree nor disagree,I did not have such teammates,Somewhat agree,Somewhat agree,Strongly agree,A moderate amount,Moderately helpful,Somewhat agree,A lot,Somewhat disagree,Somewhat agree
100,True,I agree,Yes,University of Dhaka (DU),Female,Other (please specify),Please select ...,Less than 2 years,Other (please specify),Disagree - major changes are needed,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Solved a few,Strongly agree,Hard to work with,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,,Slightly helpful,Neither agree nor disagree,A little,Neither agree nor disagree,Strongly agree
